supplier_id,supplier_name,supplier_archetype,region,category,unit_cost,max_capacity,min_order_qty,lead_time_days,risk_score,esg_score,quality_score,reliability_score,carbon_per_unit,incumbent_flag,preferred_supplier_flag,diversity_flag,compliance_flag,geo_political_risk,financial_health_score,innovation_score,max_share_cap
S001,Vertex Materials 001,Low Cost / High Risk,Ireland,Packaging,8.23,38372,3514,20,82,49,67,61,4.78,0,0,0,1,18,61,61,0.31
S002,Atlas Holdings 002,Premium / Sustainable,Ireland,Packaging,13.53,44205,4693,14,30,91,90,97,1.83,0,0,0,1,7,92,83,0.32
S003,Delta Group 003,Premium / Sustainable,Ireland,Packaging,14.15,22145,1676,17,26,89,84,94,1.36,0,0,0,1,6,89,78,0.26
S004,Harbor Partners 004,Premium / Sustainable,Ireland,Packaging,15.18,46753,5598,13,17,82,90,88,2.29,0,0,0,1,7,86,89,0.4
S005,River Works 005,High Capacity Commodity,Asia Pacific,MRO,10.25,130855,2659,27,54,48,79,83,5.81,0,0,0,1,38,89,72,0.25
S006,Cedar Materials 006,Balanced,Western Europe,MRO,13.21,49947,4654,16,38,62,84,85,3.6,0,0,0,1,18,84,79,0.5
S007,Silver Materials 007,High Capacity Commodity,Asia Pacific,MRO,10.1,104289,4382,28,53,57,71,70,4.17,0,0,1,1,20,78,61,0.28
S008,Atlas Materials 008,High Capacity Commodity,UK,MRO,11.23,96730,5829,20,43,48,74,77,4.73,0,1,0,1,17,71,64,0.25
S009,Silver Procurement 009,Low Cost / High Risk,Eastern Europe,MRO,7.79,69129,2520,27,60,37,70,65,5.72,0,0,1,1,45,72,60,0.42
S010,Delta Systems 010,Balanced,UK,Direct Materials,12.03,47110,4123,19,35,67,76,92,3.39,0,1,0,1,17,78,74,0.42
S011,Polar Solutions 011,Premium / Sustainable,Asia Pacific,Direct Materials,16.68,23939,1765,11,13,90,89,96,3.06,1,0,0,1,29,93,84,0.34
S012,Summit Works 012,Premium / Sustainable,Eastern Europe,MRO,15.91,37379,1508,14,30,80,94,91,2.96,0,1,0,1,21,97,85,0.2
S013,Cedar Manufacturing 013,Balanced,Eastern Europe,Packaging,10.57,42092,1017,15,49,57,85,83,3.37,1,0,0,1,41,79,72,0.47
S014,Arrow Materials 014,Balanced,Asia Pacific,Direct Materials,13.03,68810,3212,20,57,55,80,77,5.33,0,0,0,1,25,76,71,0.31
S015,Nova Solutions 015,Low Cost / High Risk,North America,Packaging,8.48,81861,1950,34,72,51,63,83,6.11,0,1,0,0,26,77,65,0.25
S016,Harbor Systems 016,Regional Fast Delivery,Ireland,MRO,14.25,33507,2904,7,22,71,89,100,3.17,0,1,0,1,14,91,89,0.39
S017,Silver Manufacturing 017,Low Cost / High Risk,Eastern Europe,Direct Materials,8.79,64799,3467,29,69,46,59,75,7.2,0,1,0,1,45,59,43,0.27
S018,Polar Manufacturing 018,Low Cost / High Risk,Eastern Europe,MRO,9.23,73101,7340,25,72,39,69,78,7.08,0,0,0,1,27,69,58,0.43
S019,Polar Industrial 019,Premium / Sustainable,Asia Pacific,Packaging,16.37,39332,3798,13,31,88,95,94,2.04,0,0,0,1,25,94,91,0.3
S020,Polar Works 020,Balanced,UK,Packaging,12.43,55321,5845,11,45,66,75,75,4.05,0,0,0,1,25,80,77,0.46
S021,Harbor Logistics 021,High Capacity Commodity,Asia Pacific,Packaging,10.16,117942,3348,9,42,63,70,71,4.9,1,0,0,1,28,68,70,0.3
S022,Prime Manufacturing 022,Regional Fast Delivery,UK,Direct Materials,13.38,28726,937,2,44,66,75,94,1.89,1,0,0,1,24,79,65,0.54
S023,Cedar Trade 023,Low Cost / High Risk,Asia Pacific,MRO,9.53,87490,2808,25,81,37,69,73,4.81,0,0,0,1,20,79,63,0.31
S024,Summit Procurement 024,Regional Fast Delivery,Ireland,Packaging,14.04,30718,2859,7,31,77,89,84,3.58,0,0,0,1,12,90,83,0.19
S025,River Sourcing 025,Regional Fast Delivery,Ireland,Packaging,12.86,32008,2707,7,27,62,89,81,3.38,0,0,0,1,5,84,74,0.43
S026,Polar Procurement 026,High Capacity Commodity,North America,Packaging,12.49,130543,5111,18,46,53,65,82,4.45,0,0,0,1,19,76,54,0.29
S027,Cedar Manufacturing 027,Premium / Sustainable,Ireland,Direct Materials,16.04,38502,3935,9,31,87,94,97,2.03,0,1,0,1,7,89,87,0.22
S028,Cobalt Solutions 028,High Capacity Commodity,Asia Pacific,Direct Materials,11.83,111842,9623,27,37,61,69,82,3.68,0,1,1,1,32,82,64,0.19
S029,Silver Sourcing 029,Premium / Sustainable,North America,Packaging,13.39,20870,541,11,29,89,93,90,1.25,0,1,0,1,19,95,89,0.37
S030,Cedar Global 030,Low Cost / High Risk,Eastern Europe,Packaging,9.7,66223,6377,18,67,52,72,72,4.56,0,0,0,1,38,79,54,0.35
S031,Nova Materials 031,Premium / Sustainable,North America,Direct Materials,14.81,38360,2741,11,34,93,90,90,1.69,0,0,0,1,26,97,98,0.34
S032,Sterling Group 032,Premium / Sustainable,Western Europe,Packaging,15.41,38534,3266,9,36,89,85,89,2.21,0,1,1,0,14,93,94,0.23
S033,Arrow Manufacturing 033,High Capacity Commodity,North America,Direct Materials,12.09,100387,10693,25,57,70,71,84,4.35,0,0,0,0,27,83,70,0.5
S034,Green Sourcing 034,Regional Fast Delivery,Ireland,Packaging,11.67,28618,3061,7,37,70,84,98,3.96,0,1,0,1,19,96,87,0.54
S035,Cobalt Group 035,Premium / Sustainable,Western Europe,MRO,15.19,15052,654,11,27,88,95,93,2.95,0,0,0,1,19,89,95,0.24
S036,Atlas Global 036,Low Cost / High Risk,Ireland,Direct Materials,8.38,52490,5841,20,76,49,71,63,4.74,0,0,1,1,19,68,67,0.24
S037,Arrow Holdings 037,High Capacity Commodity,Eastern Europe,Packaging,11.57,120252,12386,17,65,68,62,76,4.58,0,0,0,1,39,68,74,0.48
S038,Cobalt Solutions 038,Balanced,Eastern Europe,MRO,12.64,58374,5530,16,38,57,81,73,4.97,1,0,0,1,36,77,74,0.54
S039,Polar Global 039,Premium / Sustainable,North America,Packaging,18.3,17349,1277,18,32,91,96,97,2.77,0,0,0,1,21,95,98,0.19
S040,River Materials 040,High Capacity Commodity,Western Europe,Direct Materials,11.41,121069,6913,20,53,48,65,69,6.49,1,0,0,1,22,72,54,0.19
S041,Vertex Works 041,Regional Fast Delivery,UK,Direct Materials,14.92,12484,500,6,34,82,79,86,2.22,1,0,0,1,16,80,77,0.3
S042,Bright Supply 042,High Capacity Commodity,Ireland,Direct Materials,12.46,129424,9397,25,30,68,63,78,5.87,0,1,0,1,20,65,69,0.37
S043,Polar Solutions 043,High Capacity Commodity,Eastern Europe,MRO,12.39,76691,4455,18,44,64,74,86,3.72,1,0,0,1,39,75,79,0.42
S044,Cedar Trade 044,Balanced,Western Europe,Direct Materials,11.45,61371,1751,15,53,61,73,76,5.38,0,0,0,1,16,76,60,0.33
S045,Vertex Manufacturing 045,Low Cost / High Risk,Asia Pacific,MRO,8.44,36216,2929,24,65,47,73,67,6.17,1,0,0,1,28,73,50,0.25
S046,Luma Industrial 046,Regional Fast Delivery,Ireland,MRO,14.03,10766,500,7,25,70,78,86,3.39,0,0,1,1,6,88,77,0.28
S047,River Industrial 047,Premium / Sustainable,Western Europe,Packaging,16.73,34539,1690,13,18,82,96,86,1.45,0,0,1,1,10,90,95,0.39
S048,Cobalt Solutions 048,Regional Fast Delivery,North America,Direct Materials,13.24,21494,2466,3,28,71,79,90,2.44,0,0,0,1,17,88,81,0.21
S049,Atlas Industrial 049,Premium / Sustainable,Ireland,Direct Materials,13.42,36063,1360,12,10,92,88,99,2.42,1,1,0,1,20,95,98,0.3
S050,Luma Procurement 050,Regional Fast Delivery,UK,Packaging,14.69,24785,1968,5,22,71,73,86,2.43,0,0,0,1,24,77,72,0.4
S051,Bright Trade 051,Low Cost / High Risk,Eastern Europe,Packaging,10.45,35060,3416,29,61,53,75,70,6.33,0,0,0,1,30,76,63,0.27
S052,Summit Works 052,Balanced,Western Europe,MRO,12.32,65837,2158,14,51,68,70,83,3.21,0,0,0,1,16,77,64,0.53
S053,Atlas Materials 053,Regional Fast Delivery,Ireland,Direct Materials,12.12,17395,616,8,33,73,85,88,3.26,0,0,0,1,10,85,83,0.41
S054,Orion Sourcing 054,High Capacity Commodity,Western Europe,Packaging,12.21,91342,9801,23,48,57,77,90,5.01,0,1,1,1,16,84,59,0.46
S055,Apex Group 055,High Capacity Commodity,UK,Packaging,9.78,170156,17682,25,60,70,69,80,4.62,0,1,0,1,14,70,74,0.35
S056,Delta Partners 056,Low Cost / High Risk,Ireland,Direct Materials,10.0,62928,1956,30,76,38,61,66,4.64,0,0,0,1,5,55,58,0.31
S057,Atlas Solutions 057,Balanced,Eastern Europe,Direct Materials,11.83,38030,3759,21,49,71,79,72,5.18,1,0,0,1,21,77,85,0.24
S058,River Partners 058,Regional Fast Delivery,Western Europe,Direct Materials,11.75,29405,1332,6,27,63,76,81,3.85,0,0,0,1,13,80,67,0.23
S059,River Manufacturing 059,Regional Fast Delivery,Western Europe,Packaging,12.86,14670,724,7,29,78,77,81,2.73,0,0,1,1,12,85,78,0.35
S060,Summit Holdings 060,Regional Fast Delivery,UK,Direct Materials,11.8,25938,1511,5,37,76,89,86,3.14,0,1,0,1,24,83,88,0.32
S061,Polar Systems 061,Premium / Sustainable,Ireland,Direct Materials,13.14,19070,615,13,41,80,93,93,1.47,0,0,0,0,19,95,87,0.44
S062,Green Procurement 062,Premium / Sustainable,North America,Direct Materials,16.91,47238,4741,14,26,87,84,91,1.31,0,1,0,1,25,92,88,0.48
S063,Orion Materials 063,Premium / Sustainable,Eastern Europe,Packaging,15.56,31660,2273,9,31,88,90,94,1.28,0,0,0,1,42,98,88,0.49
S064,Polar Logistics 064,High Capacity Commodity,Eastern Europe,MRO,10.41,128683,13193,20,36,70,63,81,5.66,0,0,1,1,26,64,71,0.51
S065,Prime Supply 065,Premium / Sustainable,Western Europe,MRO,15.23,29235,3436,15,24,85,89,89,1.32,0,0,1,0,13,89,91,0.27
S066,Bright Group 066,Premium / Sustainable,Asia Pacific,MRO,15.3,48582,3387,17,30,95,92,87,1.35,0,0,1,1,29,82,84,0.28
S067,Vertex Materials 067,Regional Fast Delivery,UK,Direct Materials,14.89,20773,1462,8,38,77,79,86,3.05,0,0,0,1,13,84,85,0.53
S068,Prime Partners 068,High Capacity Commodity,North America,MRO,9.62,74281,6065,23,58,59,63,86,3.92,0,0,0,1,19,66,62,0.3
S069,Cedar Systems 069,High Capacity Commodity,Eastern Europe,MRO,12.12,139219,14223,19,39,63,83,80,4.18,1,0,0,1,34,77,76,0.44
S070,Cobalt Works 070,High Capacity Commodity,Asia Pacific,MRO,11.68,147635,12930,20,50,72,71,76,6.37,0,0,0,1,35,74,68,0.53
S071,Silver Materials 071,Premium / Sustainable,North America,MRO,16.88,24048,2776,11,33,92,86,86,2.49,0,0,0,1,12,92,98,0.27
S072,Nova Group 072,Balanced,North America,Packaging,13.27,54809,4829,12,49,67,72,88,4.33,0,1,1,1,25,78,68,0.3
S073,Polar Systems 073,Low Cost / High Risk,North America,Direct Materials,9.11,73387,8341,34,87,39,73,64,7.26,0,0,0,1,28,63,56,0.29
S074,Silver Global 074,Regional Fast Delivery,North America,Direct Materials,14.9,21701,2077,4,23,65,80,84,2.21,0,0,0,1,12,77,67,0.54
S075,Polar Group 075,Balanced,Ireland,Packaging,10.82,57688,4838,19,38,69,69,87,4.73,1,1,0,1,16,84,78,0.32
S076,Atlas Works 076,Regional Fast Delivery,Eastern Europe,MRO,14.8,29046,2244,7,33,78,81,94,2.6,0,1,1,1,41,94,71,0.51
S077,Cedar Global 077,Low Cost / High Risk,Eastern Europe,MRO,8.75,63835,7622,27,75,43,55,67,4.51,0,1,0,1,29,57,59,0.54
S078,River Procurement 078,Regional Fast Delivery,UK,Packaging,13.0,27068,550,7,33,75,78,83,2.98,0,0,1,1,24,84,73,0.27
S079,Cobalt Materials 079,Premium / Sustainable,Ireland,MRO,17.21,13224,1417,15,25,95,94,88,1.15,0,0,0,1,6,84,88,0.37
S080,Cobalt Partners 080,High Capacity Commodity,Eastern Europe,MRO,11.82,160022,6002,16,61,72,71,76,4.33,0,0,0,1,40,75,74,0.33
S081,Bright Supply 081,Balanced,North America,Packaging,10.84,31267,1657,20,39,64,69,79,4.04,0,0,1,1,16,74,68,0.43
S082,Luma Group 082,Low Cost / High Risk,UK,MRO,9.67,63531,3790,26,92,43,74,65,7.31,0,1,0,0,19,72,57,0.28
S083,Silver Solutions 083,Regional Fast Delivery,UK,MRO,13.38,30993,1914,8,29,70,82,83,2.12,0,0,1,1,17,84,74,0.46
S084,Bright Group 084,Regional Fast Delivery,UK,MRO,14.68,14232,500,7,43,80,83,90,1.93,1,0,0,0,14,89,72,0.41
S085,Green Global 085,Regional Fast Delivery,Western Europe,Direct Materials,11.53,23791,730,3,33,67,90,80,3.59,0,0,1,1,11,88,76,0.47
S086,Arrow Materials 086,Regional Fast Delivery,UK,Direct Materials,15.46,15646,500,7,41,75,87,91,2.01,0,0,0,1,23,84,87,0.52
S087,River Supply 087,High Capacity Commodity,Eastern Europe,Direct Materials,12.27,145287,7253,16,48,63,64,90,3.55,0,1,0,1,44,71,69,0.46
S088,Harbor Solutions 088,Low Cost / High Risk,Eastern Europe,Direct Materials,8.52,76140,2937,34,83,54,56,65,7.48,0,0,0,0,39,54,47,0.28
S089,Arrow Manufacturing 089,Balanced,North America,Packaging,11.26,24576,711,21,46,70,70,73,4.08,0,0,0,1,23,65,77,0.51
S090,Summit Sourcing 090,High Capacity Commodity,Western Europe,Packaging,10.01,99581,6928,16,35,50,66,74,5.85,0,0,0,1,10,72,67,0.32
S091,Polar Procurement 091,Premium / Sustainable,Western Europe,MRO,18.36,17173,1332,11,34,82,86,97,3.13,0,0,0,1,21,86,92,0.25
S092,Cedar Systems 092,High Capacity Commodity,Ireland,MRO,10.88,147920,12701,19,40,64,78,84,4.73,0,0,0,1,17,85,78,0.37
S093,Polar Manufacturing 093,Low Cost / High Risk,Asia Pacific,Packaging,9.6,78738,6667,28,87,38,60,73,5.0,0,0,0,1,26,65,55,0.46
S094,Nova Works 094,High Capacity Commodity,Western Europe,Packaging,10.67,154958,8415,21,54,54,61,73,4.75,0,1,0,0,15,73,57,0.2
S095,Sterling Materials 095,Low Cost / High Risk,Ireland,Packaging,9.44,70628,2715,21,90,41,58,63,6.18,0,0,0,1,18,65,51,0.18
S096,Arrow Logistics 096,Premium / Sustainable,North America,Direct Materials,16.18,42381,2511,13,19,82,84,93,2.08,0,0,1,1,19,82,77,0.3
