recommendation_id,workflow_run_id,request_id,recommendation_status,headline,detail,selected_suppliers,estimated_total_cost,generated_at
REC-0001-01,RUN-0001-01,REQ-0001,generated,"Allocate 170,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1453594.98,2026-02-19 06:15:00
REC-0002-01,RUN-0002-01,REQ-0002,generated,"Allocate 90,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,966842.61,2026-01-05 17:20:00
REC-0003-01,RUN-0003-01,REQ-0003,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-08 21:02:00
REC-0004-01,RUN-0004-01,REQ-0004,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-18 19:59:00
REC-0005-01,RUN-0005-01,REQ-0005,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-02 20:14:00
REC-0006-01,RUN-0006-01,REQ-0006,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-10 04:14:00
REC-0007-01,RUN-0007-01,REQ-0007,generated,"Allocate 90,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1026297.63,2026-01-28 12:20:00
REC-0008-01,RUN-0008-01,REQ-0008,generated,"Allocate 55,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,543878.75,2026-03-24 07:10:00
REC-0009-01,RUN-0009-01,REQ-0009,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-28 16:57:00
REC-0010-01,RUN-0010-01,REQ-0010,generated,"Allocate 55,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,665215.86,2026-03-20 20:15:00
REC-0011-01,RUN-0011-01,REQ-0011,generated,"Allocate 110,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,976253.03,2026-02-18 20:34:00
REC-0012-01,RUN-0012-01,REQ-0012,generated,"Allocate 70,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,602693.09,2026-01-31 06:05:00
REC-0013-01,RUN-0013-01,REQ-0013,generated,"Allocate 90,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1357209.22,2026-01-28 07:00:00
REC-0014-01,RUN-0014-01,REQ-0014,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,904511.82,2026-01-31 09:30:00
REC-0015-01,RUN-0015-01,REQ-0015,generated,"Allocate 135,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1479123.19,2026-02-03 11:39:00
REC-0016-01,RUN-0016-01,REQ-0016,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,894079.29,2026-01-29 13:28:00
REC-0017-01,RUN-0017-01,REQ-0017,generated,"Allocate 110,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,1065909.13,2026-01-19 17:31:00
REC-0018-01,RUN-0018-01,REQ-0018,generated,"Allocate 70,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,734689.7,2026-01-15 12:36:00
REC-0019-01,RUN-0019-01,REQ-0019,generated,"Allocate 110,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1141284.32,2026-02-24 14:35:00
REC-0020-01,RUN-0020-01,REQ-0020,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-09 08:34:00
REC-0021-01,RUN-0021-01,REQ-0021,generated,"Allocate 110,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1263085.08,2026-01-12 02:49:00
REC-0022-01,RUN-0022-01,REQ-0022,generated,"Allocate 170,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,2393368.45,2026-01-16 15:15:00
REC-0023-01,RUN-0023-01,REQ-0023,generated,"Allocate 120,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,1048043.63,2026-01-30 04:49:00
REC-0024-01,RUN-0024-01,REQ-0024,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-27 13:27:00
REC-0025-01,RUN-0025-01,REQ-0025,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-10 01:22:00
REC-0026-01,RUN-0026-01,REQ-0026,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-14 16:18:00
