approval_id,workflow_run_id,request_id,approval_required,decision,reviewer_name,review_comment,reviewed_at,sla_hours
APR-0001-01,RUN-0001-01,REQ-0001,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-02-18 00:55:00,6.0
APR-0002-01,RUN-0002-01,REQ-0002,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-06 05:00:00,13.0
APR-0003-01,RUN-0003-01,REQ-0003,1,Rejected,A. Shah,Rejected due to policy or portfolio concerns.,2026-04-08 12:42:00,19.0
APR-0004-01,RUN-0004-01,REQ-0004,1,Pending,S. Walker,Pending sourcing manager review.,2026-02-19 00:39:00,18.0
APR-0005-01,RUN-0005-01,REQ-0005,1,Pending,J. Morgan,Pending sourcing manager review.,2026-04-02 16:54:00,5.0
APR-0006-01,RUN-0006-01,REQ-0006,1,Pending,R. Patel,Pending sourcing manager review.,2026-04-09 14:54:00,10.0
APR-0007-01,RUN-0007-01,REQ-0007,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-28 14:00:00,13.0
APR-0008-01,RUN-0008-01,REQ-0008,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-24 02:50:00,11.0
APR-0009-01,RUN-0009-01,REQ-0009,1,Rejected,S. Walker,Rejected because validation found likely infeasibility.,2026-03-27 13:37:00,9.0
APR-0010-01,RUN-0010-01,REQ-0010,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-03-20 19:55:00,12.0
APR-0011-01,RUN-0011-01,REQ-0011,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-02-18 07:14:00,23.0
APR-0012-01,RUN-0012-01,REQ-0012,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-30 17:45:00,7.0
APR-0013-01,RUN-0013-01,REQ-0013,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-27 06:40:00,11.0
APR-0014-01,RUN-0014-01,REQ-0014,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-01-30 05:10:00,3.0
APR-0015-01,RUN-0015-01,REQ-0015,1,Approved,A. Shah,Approved after review of trade-offs and feasibility warnings.,2026-02-04 00:19:00,23.0
APR-0016-01,RUN-0016-01,REQ-0016,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-01-29 18:08:00,18.0
APR-0017-01,RUN-0017-01,REQ-0017,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-01-19 10:11:00,13.0
APR-0018-01,RUN-0018-01,REQ-0018,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-01-15 12:16:00,1.0
APR-0019-01,RUN-0019-01,REQ-0019,1,Approved,R. Patel,Approved after review of trade-offs and feasibility warnings.,2026-02-24 15:15:00,7.0
APR-0020-01,RUN-0020-01,REQ-0020,1,Pending,J. Morgan,Pending sourcing manager review.,2026-03-08 17:14:00,21.0
APR-0021-01,RUN-0021-01,REQ-0021,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-11 16:29:00,19.0
APR-0022-01,RUN-0022-01,REQ-0022,1,Approved,M. Chen,Approved after review of trade-offs and feasibility warnings.,2026-01-17 06:55:00,24.0
APR-0023-01,RUN-0023-01,REQ-0023,1,Approved,S. Walker,Approved after review of trade-offs and feasibility warnings.,2026-01-29 08:29:00,4.0
APR-0024-01,RUN-0024-01,REQ-0024,1,Pending,J. Morgan,Pending sourcing manager review.,2026-02-27 14:07:00,9.0
APR-0025-01,RUN-0025-01,REQ-0025,1,Rejected,S. Walker,Rejected due to policy or portfolio concerns.,2026-04-09 11:02:00,9.0
APR-0026-01,RUN-0026-01,REQ-0026,1,Pending,S. Walker,Pending sourcing manager review.,2026-01-14 19:58:00,6.0
APR-0027-01,RUN-0027-01,REQ-0027,0,Auto-Approved,System,Request met auto-approval thresholds.,2026-03-13 00:58:00,1.0
APR-0028-01,RUN-0028-01,REQ-0028,1,Rejected,A. Shah,Rejected because validation found likely infeasibility.,2026-01-23 08:34:00,9.0
APR-0029-01,RUN-0029-01,REQ-0029,1,Approved,J. Morgan,Approved after review of trade-offs and feasibility warnings.,2026-01-13 01:02:00,8.0
APR-0030-01,RUN-0030-01,REQ-0030,1,Rejected,R. Patel,Rejected because validation found likely infeasibility.,2026-03-01 05:32:00,9.0
