artifact_id,workflow_run_id,request_id,artifact_type,version_no,storage_uri,created_at,created_by,is_latest_version
ART-0001-01-01,RUN-0001-01,REQ-0001,parsed_scenario,1,artifacts/REQ-0001/RUN-0001-01/parsed_scenario_v1.json,2026-02-17 19:05:00,system,1
ART-0001-01-02,RUN-0001-01,REQ-0001,validation_report,1,artifacts/REQ-0001/RUN-0001-01/validation_report_v1.json,2026-02-17 19:15:00,system,1
ART-0001-01-03,RUN-0001-01,REQ-0001,optimization_result,1,artifacts/REQ-0001/RUN-0001-01/optimization_result_v1.json,2026-02-17 19:25:00,system,1
ART-0001-01-04,RUN-0001-01,REQ-0001,decision_audit,1,artifacts/REQ-0001/RUN-0001-01/decision_audit_v1.json,2026-02-17 19:35:00,system,1
ART-0001-01-05,RUN-0001-01,REQ-0001,sensitivity_report,1,artifacts/REQ-0001/RUN-0001-01/sensitivity_report_v1.json,2026-02-17 19:45:00,system,1
ART-0001-01-06,RUN-0001-01,REQ-0001,recommendation_packet,1,artifacts/REQ-0001/RUN-0001-01/recommendation_packet_v1.json,2026-02-17 19:55:00,system,1
ART-0002-01-01,RUN-0002-01,REQ-0002,parsed_scenario,1,artifacts/REQ-0002/RUN-0002-01/parsed_scenario_v1.json,2026-01-05 16:10:00,system,1
ART-0002-01-02,RUN-0002-01,REQ-0002,validation_report,1,artifacts/REQ-0002/RUN-0002-01/validation_report_v1.json,2026-01-05 16:20:00,system,1
ART-0002-01-03,RUN-0002-01,REQ-0002,optimization_result,1,artifacts/REQ-0002/RUN-0002-01/optimization_result_v1.json,2026-01-05 16:30:00,system,1
ART-0002-01-04,RUN-0002-01,REQ-0002,decision_audit,1,artifacts/REQ-0002/RUN-0002-01/decision_audit_v1.json,2026-01-05 16:40:00,system,1
ART-0002-01-05,RUN-0002-01,REQ-0002,sensitivity_report,1,artifacts/REQ-0002/RUN-0002-01/sensitivity_report_v1.json,2026-01-05 16:50:00,system,1
ART-0002-01-06,RUN-0002-01,REQ-0002,recommendation_packet,1,artifacts/REQ-0002/RUN-0002-01/recommendation_packet_v1.json,2026-01-05 17:00:00,system,1
ART-0003-01-01,RUN-0003-01,REQ-0003,parsed_scenario,1,artifacts/REQ-0003/RUN-0003-01/parsed_scenario_v1.json,2026-04-07 17:52:00,system,1
ART-0003-01-02,RUN-0003-01,REQ-0003,validation_report,1,artifacts/REQ-0003/RUN-0003-01/validation_report_v1.json,2026-04-07 18:02:00,system,1
ART-0004-01-01,RUN-0004-01,REQ-0004,parsed_scenario,1,artifacts/REQ-0004/RUN-0004-01/parsed_scenario_v1.json,2026-02-18 06:49:00,system,1
ART-0004-01-02,RUN-0004-01,REQ-0004,validation_report,1,artifacts/REQ-0004/RUN-0004-01/validation_report_v1.json,2026-02-18 06:59:00,system,1
ART-0005-01-01,RUN-0005-01,REQ-0005,parsed_scenario,1,artifacts/REQ-0005/RUN-0005-01/parsed_scenario_v1.json,2026-04-02 12:04:00,system,1
ART-0005-01-02,RUN-0005-01,REQ-0005,validation_report,1,artifacts/REQ-0005/RUN-0005-01/validation_report_v1.json,2026-04-02 12:14:00,system,1
ART-0006-01-01,RUN-0006-01,REQ-0006,parsed_scenario,1,artifacts/REQ-0006/RUN-0006-01/parsed_scenario_v1.json,2026-04-09 05:04:00,system,1
ART-0006-01-02,RUN-0006-01,REQ-0006,validation_report,1,artifacts/REQ-0006/RUN-0006-01/validation_report_v1.json,2026-04-09 05:14:00,system,1
ART-0007-01-01,RUN-0007-01,REQ-0007,parsed_scenario,1,artifacts/REQ-0007/RUN-0007-01/parsed_scenario_v1.json,2026-01-28 01:10:00,system,1
ART-0007-01-02,RUN-0007-01,REQ-0007,validation_report,1,artifacts/REQ-0007/RUN-0007-01/validation_report_v1.json,2026-01-28 01:20:00,system,1
ART-0007-01-03,RUN-0007-01,REQ-0007,optimization_result,1,artifacts/REQ-0007/RUN-0007-01/optimization_result_v1.json,2026-01-28 01:30:00,system,1
ART-0007-01-04,RUN-0007-01,REQ-0007,decision_audit,1,artifacts/REQ-0007/RUN-0007-01/decision_audit_v1.json,2026-01-28 01:40:00,system,1
ART-0007-01-05,RUN-0007-01,REQ-0007,sensitivity_report,1,artifacts/REQ-0007/RUN-0007-01/sensitivity_report_v1.json,2026-01-28 01:50:00,system,1
