dataset_name,column_name,dtype_example,sample_value,dataset_purpose
sourcing_requests.csv,request_id,object,REQ-0001,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,request_text,object,"Allocate 170000 units. Block Western Europe. Keep average ESG at least 78, average risk at most 30, use at least 5 suppliers, and cap each supplier at 25%.",Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requester_name,object,Ava Turner,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,business_unit,object,Automotive,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,priority,object,High,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,status,object,completed,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,submitted_at,object,2026-02-17 18:45:00,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,due_by,object,2026-02-25 18:45:00,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requested_demand_units,int64,170000,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requested_min_avg_esg,int64,78,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requested_max_avg_risk,int64,30,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requested_min_suppliers,int64,5,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,requested_max_supplier_share,float64,0.25,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,blocked_regions_raw,object,Western Europe,Raw sourcing requests entering the orchestrator.
sourcing_requests.csv,manual_approval_required,int64,1,Raw sourcing requests entering the orchestrator.
workflow_runs.csv,workflow_run_id,object,RUN-0001-01,"Execution instances for each request, including reruns."
workflow_runs.csv,request_id,object,REQ-0001,"Execution instances for each request, including reruns."
workflow_runs.csv,run_version,int64,1,"Execution instances for each request, including reruns."
workflow_runs.csv,current_stage,object,recommend,"Execution instances for each request, including reruns."
workflow_runs.csv,status,object,Completed,"Execution instances for each request, including reruns."
workflow_runs.csv,started_at,object,2026-02-17 18:55:00,"Execution instances for each request, including reruns."
workflow_runs.csv,last_updated_at,object,2026-02-19 05:55:00,"Execution instances for each request, including reruns."
workflow_runs.csv,trigger_type,object,initial_submission,"Execution instances for each request, including reruns."
workflow_runs.csv,orchestrator_version,object,0.1.0,"Execution instances for each request, including reruns."
validation_results.csv,validation_id,object,VAL-0001-01,Validation-agent output for each workflow run.
validation_results.csv,workflow_run_id,object,RUN-0001-01,Validation-agent output for each workflow run.
validation_results.csv,request_id,object,REQ-0001,Validation-agent output for each workflow run.
validation_results.csv,validation_status,object,warning,Validation-agent output for each workflow run.
validation_results.csv,schema_check_passed,int64,1,Validation-agent output for each workflow run.
validation_results.csv,business_rules_passed,int64,1,Validation-agent output for each workflow run.
validation_results.csv,warning_count,int64,2,Validation-agent output for each workflow run.
validation_results.csv,failure_count,int64,0,Validation-agent output for each workflow run.
